title,chapternumber,eyes,comment,heart,kind,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16
Tồn Tại Với Tư Cách Là Vợ Của Nam Chính,206,46021640,5688,171396,Drama,Manhwa,Romance,Xuyên Không,,,,,,,,,,,,,
Hào Môn Thiên Giới Tiền Thê,410,45850195,18741,30881,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,Smut,,,,,,,,,,,
Một Ngày Nọ Tôi Bỗng Thành Nàng Công Chúa,1205,45354438,42266,260659,Cổ Đại,Manhwa,Romance,Xuyên Không,,,,,,,,,,,,,
Trọng Sinh Khí Thiếu Quy Lai,250,45297501,8078,121661,Action,Chuyển Sinh,Fantasy,Manhua,Romance,,,,,,,,,,,,
Ta Luyện Khí Ba Ngàn Năm,267,45293322,18148,156986,Action,Adventure,Comedy,Harem,Manhua,,,,,,,,,,,,
Tối Cường Thăng Cấp,302,45028777,6285,122557,Comedy,Manhua,Mystery,Supernatural,Webtoon,,,,,,,,,,,,
Hotboy Quốc Dân Là Nữ,255,44384687,26348,197641,Harem,Manhua,Ngôn Tình,School Life,Shoujo,,,,,,,,,,,,
Cưng Chiều Vợ Yêu,312,44320884,17520,54253,Comedy,Manhua,Romance,Shoujo,Smut,,,,,,,,,,,,
Nhạ Thượng Thủ Tịch Tổng Tài,159,44092723,25533,36090,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,Smut,,,,,,,,,,,
Chuyển Sinh Ma Pháp Đặc Biệt Yếu,161,44084746,3357,74872,Action,Chuyển Sinh,Fantasy,Manhwa,,,,,,,,,,,,,
Ông Xã Thú Tính Đêm Đêm Gợi Tình,300,43367498,16184,50248,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,,
Tuyệt Thế Chiến Hồn,298,43212140,5344,45987,Action,Adventure,Manhua,Mystery,,,,,,,,,,,,,
Nghịch Thiên Chiến Thần,313,41710135,1880,104713,Action,Adventure,Manhua,Mystery,Xuyên Không,,,,,,,,,,,,
Thần Y Đích Nữ,297,41573814,16746,49121,Manhua,Mystery,Ngôn Tình,Romance,Shoujo,Xuyên Không,,,,,,,,,,,
"Bá Đạo Tiểu Thúc, Xin Trêu Chọc Vừa Thôi!",317,41541141,10432,81766,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,,
Đường Dần tại Dị Giới,392,41429747,5212,32215,Adventure,Harem,Manhua,,,,,,,,,,,,,,
Ánh Sáng Cuối Con Đường,134,41268892,31006,220276,Action,Adventure,Chuyển Sinh,Comedy,Manga,Webtoon,,,,,,,,,,,
Chiến Hồn Tuyệt Thế,416,40691619,4430,94040,Action,Adventure,Manhua,Mystery,,,,,,,,,,,,,
Nguyên Long,287,40347965,5643,102521,Action,Adventure,Chuyển Sinh,Cổ Đại,Drama,Manhua,Xuyên Không,,,,,,,,,,
Kim Bài Điềm Thê,232,40150399,21153,53425,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,Smut,,,,,,,,,,,
Chung Cực Đấu La,313,40118030,9193,107918,Action,Adventure,Manhua,Mystery,,,,,,,,,,,,,
Cô Vợ Nhỏ Nuông Chiều Quá Lại Thành Ác!!,224,40030099,3877,91017,Comedy,Comic,Drama,Manhua,Ngôn Tình,Romance,Tạp chí truyện tranh,,,,,,,,,,
Đào Hoa Bảo Điển,453,40025207,4702,65141,Action,Adult,Adventure,Drama,Harem,Manhua,Martial Arts,Smut,Supernatural,,,,,,,,
Thế Giới Game Thủ,370,39194513,8086,52679,Action,Comedy,School Life,Shounen,Supernatural,Thiếu Nhi,,,,,,,,,,,
Lãnh Cung Phế Hậu Muốn Nghịch Thiên,244,39102696,14223,60651,Comedy,Manhua,Ngôn Tình,Xuyên Không,,,,,,,,,,,,,
Độc Phi Ngu Ngốc Không Thể Chọc,178,39003682,11297,96636,Chuyển Sinh,Cổ Đại,Drama,Manhua,Ngôn Tình,Romance,Xuyên Không,,,,,,,,,,
Long Vương Truyền Thuyết,287,38540693,8507,85528,Action,Adventure,Fantasy,Manhua,Martial Arts,Shounen,,,,,,,,,,,
Ta Có Phòng Riêng Thời Tận Thế,403,38251474,3045,49597,Adventure,Fantasy,Manhua,Mystery,,,,,,,,,,,,,
Dục Hỏa Độc Nữ,126,38128204,13665,67516,Chuyển Sinh,Cổ Đại,Comic,Drama,Historical,Manhua,Ngôn Tình,Romance,Smut,,,,,,,,
Tôi Thăng Cấp Một Mình 2,69,37680135,31196,337445,Action,Adventure,Manhwa,Shounen,Webtoon,,,,,,,,,,,,
Hoán Đổi Diệu Kỳ,386,37595671,16307,84512,Comedy,Drama,Psychological,School Life,Seinen,,,,,,,,,,,,
